,zipcode,Population,White,Black,Asian,Hispanic
9571,30002,6123.0,3192.0,2007.0,669.0,393.0
9572,30004,54714.0,41410.0,6310.0,4764.0,4096.0
9573,30005,37014.0,23485.0,3415.0,8340.0,2717.0
9574,30008,32366.0,14299.0,13173.0,776.0,9461.0
9575,30009,14584.0,10557.0,1551.0,1443.0,1582.0
9576,30011,15328.0,12573.0,1439.0,617.0,1254.0
9577,30012,27342.0,13426.0,11478.0,198.0,5141.0
9578,30013,25636.0,8373.0,15319.0,697.0,1869.0
9579,30014,36840.0,23888.0,11914.0,128.0,2399.0
9580,30016,50852.0,21805.0,26393.0,664.0,2283.0
9581,30017,21151.0,13484.0,5922.0,836.0,1008.0
9582,30019,41483.0,29826.0,7399.0,1189.0,6300.0
9583,30021,24504.0,3630.0,13727.0,6041.0,510.0
9584,30022,66120.0,46877.0,7605.0,8646.0,5160.0
9585,30024,68650.0,44439.0,5551.0,15572.0,4425.0
9586,30025,8756.0,6790.0,1879.0,0.0,69.0
9587,30028,21234.0,19947.0,82.0,319.0,2166.0
9588,30030,25701.0,18361.0,5092.0,1293.0,966.0
9589,30032,48693.0,5010.0,41854.0,95.0,1675.0
9590,30033,29604.0,20443.0,3352.0,3468.0,2484.0
9591,30034,45359.0,1870.0,42046.0,20.0,384.0
9592,30035,20154.0,1535.0,17858.0,332.0,594.0
9593,30038,39490.0,1085.0,37260.0,232.0,655.0
9594,30039,42049.0,14911.0,23576.0,1002.0,3234.0
9595,30040,58225.0,49899.0,1969.0,2946.0,7283.0
9596,30041,56176.0,48467.0,1395.0,3850.0,4140.0
9597,30043,83855.0,48507.0,17182.0,10249.0,13343.0
9598,30044,81764.0,33288.0,22650.0,10991.0,23266.0
9599,30045,33063.0,15831.0,12348.0,1843.0,5320.0
9600,30046,34744.0,15300.0,11806.0,2176.0,7795.0
9601,30047,61805.0,33863.0,10877.0,8261.0,12698.0
9602,30052,59226.0,43216.0,12197.0,1114.0,3617.0
9603,30054,11826.0,8805.0,2394.0,355.0,79.0
9604,30055,3080.0,2949.0,106.0,0.0,28.0
9605,30056,2229.0,1955.0,249.0,7.0,15.0
9606,30058,54053.0,2208.0,48953.0,292.0,1705.0
9607,30060,35761.0,18732.0,11250.0,906.0,11697.0
9608,30062,63806.0,48621.0,7141.0,5139.0,5430.0
9609,30064,46401.0,33979.0,9549.0,1239.0,3609.0
9610,30066,52060.0,40468.0,5816.0,3580.0,3644.0
9611,30067,45206.0,22825.0,14478.0,3117.0,5299.0
9612,30068,33185.0,27153.0,2486.0,2290.0,1960.0
9613,30070,253.0,218.0,28.0,0.0,4.0
9614,30071,21172.0,8300.0,3700.0,2413.0,10063.0
9615,30072,588.0,462.0,70.0,3.0,88.0
9616,30075,55253.0,46449.0,5250.0,1905.0,3539.0
9617,30076,41719.0,31297.0,5114.0,2034.0,8910.0
9618,30078,34676.0,20261.0,11029.0,2314.0,2813.0
9619,30079,3507.0,862.0,2208.0,208.0,246.0
9620,30080,53298.0,28510.0,16212.0,3205.0,9768.0
9621,30082,24720.0,13570.0,7335.0,1710.0,2836.0
9622,30083,52056.0,6880.0,41837.0,2179.0,2054.0
9623,30084,35524.0,19127.0,6329.0,4757.0,7595.0
9624,30087,35077.0,10306.0,22739.0,929.0,1481.0
